Phase,Dataset,Model,Accuracy
clean,Cifar100,VGG16,0.6148
clean,Cifar100,RESNET50,0.4564
clean,Cifar100,extractfeatures_VGG16,0.3096
clean,Cifar100,extractfeatures_RESNET50,0.3372
clean,Cifar100,classifier_VGG16,0.31
clean,Cifar100,classifier_RESNET50,0.3294
clean,SVHN,VGG16,0.9593577135832821
clean,SVHN,RESNET50,0.9207129686539643
clean,SVHN,extractfeatures_VGG16,0.5420251997541488
clean,SVHN,extractfeatures_RESNET50,0.5395666871542717
clean,SVHN,classifier_VGG16,0.5574677320221266
clean,SVHN,classifier_RESNET50,0.8324370006146281
clean,Cifar10,VGG16,0.884
clean,Cifar10,RESNET50,0.7788
clean,Cifar10,extractfeatures_VGG16,0.6224
clean,Cifar10,extractfeatures_RESNET50,0.6442
clean,Cifar10,classifier_VGG16,0.6168
clean,Cifar10,classifier_RESNET50,0.8268
poisoned,Cifar100,VGG16,0.6082
poisoned,Cifar100,RESNET50,0.437
poisoned,Cifar100,extractfeatures_VGG16,0.3046
poisoned,Cifar100,extractfeatures_RESNET50,0.3528
poisoned,Cifar100,classifier_VGG16,0.3096
poisoned,Cifar100,classifier_RESNET50,0.4756
poisoned,SVHN,VGG16,0.9552858020897357
poisoned,SVHN,RESNET50,0.9345421020282729
poisoned,SVHN,extractfeatures_VGG16,0.536339889366933
poisoned,SVHN,extractfeatures_RESNET50,0.5285802089735709
poisoned,SVHN,classifier_VGG16,0.5398740012292563
poisoned,SVHN,classifier_RESNET50,0.9304701905347265
poisoned,Cifar10,VGG16,0.8436
poisoned,Cifar10,RESNET50,0.7478
poisoned,Cifar10,extractfeatures_VGG16,0.5874
poisoned,Cifar10,extractfeatures_RESNET50,0.6108
poisoned,Cifar10,classifier_VGG16,0.785
poisoned,Cifar10,classifier_RESNET50,0.7736
first_order_unlearning,Cifar100,VGG16,0.61
first_order_unlearning,Cifar100,RESNET50,0.437
first_order_unlearning,Cifar100,classifier_RESNET50,0.4752
first_order_unlearning,SVHN,VGG16,0.9558236017209588
first_order_unlearning,SVHN,RESNET50,0.9348494161032576
first_order_unlearning,SVHN,classifier_RESNET50,0.931161647203442
first_order_unlearning,Cifar10,VGG16,0.8448
first_order_unlearning,Cifar10,RESNET50,0.7384
first_order_unlearning,Cifar10,classifier_VGG16,0.3588
first_order_unlearning,Cifar10,classifier_RESNET50,0.772
second_order_unlearning,Cifar100,VGG16,0.5878
second_order_unlearning,Cifar100,RESNET50,0.4242
second_order_unlearning,Cifar100,classifier_RESNET50,0.0098
second_order_unlearning,SVHN,VGG16,0.8100799016594961
second_order_unlearning,SVHN,RESNET50,0.8876767055931162
second_order_unlearning,SVHN,classifier_RESNET50,0.9172556853103873
second_order_unlearning,Cifar10,VGG16,0.8
second_order_unlearning,Cifar10,RESNET50,0.5084
second_order_unlearning,Cifar10,classifier_RESNET50,0.6138
