Phase,Dataset,Model,Accuracy
clean,Cifar10,VGG16,0.884
clean,Cifar100,VGG16,0.6148
clean,SVHN,VGG16,0.9593577135832821
clean,Cifar10,RESNET50,0.7788
clean,Cifar100,RESNET50,0.4564
clean,SVHN,RESNET50,0.9207129686539643
poisoned,Cifar10,VGG16,0.8436
poisoned,SVHN,VGG16,0.9552858020897357
poisoned,Cifar100,VGG16,0.6082
poisoned,Cifar10,RESNET50,0.7478
poisoned,SVHN,RESNET50,0.9345421020282729
poisoned,Cifar100,RESNET50,0.437
first_order_unlearning,Cifar100,VGG16,0.61
first_order_unlearning,SVHN,VGG16,0.9558236017209588
first_order_unlearning,Cifar10,VGG16,0.8448
first_order_unlearning,Cifar100,RESNET50,0.437
first_order_unlearning,SVHN,RESNET50,0.9348494161032576
first_order_unlearning,Cifar10,RESNET50,0.7384
second_order_unlearning,Cifar100,VGG16,0.5878
second_order_unlearning,Cifar100,RESNET50,0.4242
second_order_unlearning,SVHN,VGG16,0.8100799016594961
second_order_unlearning,SVHN,RESNET50,0.8876767055931162
second_order_unlearning,Cifar10,VGG16,0.8
second_order_unlearning,Cifar10,RESNET50,0.5084
