,Filename,Dataset,Model Type,Acc Clean,Acc Before Fix,Acc After Fix,Acc Perc Restored,Num Params
1,fo_fo_fo_clean,Cifar10,VGG19,0.884,0.8385999798774719,0.8393999934196472,0.017621435849943946,35357770
7,fo_fo,Cifar10,VGG19,0.884,0.8388000130653381,0.8385999798774719,-0.004425514285111758,35357770
9,fo_clean,Cifar10,VGG19,0.884,0.8388000130653381,0.8385999798774719,-0.004425514285111758,35357770
11,fo_fo_clean_fo,Cifar10,VGG19,0.884,0.8385999798774719,0.8393999934196472,0.017621435849943946,35357770
16,fo_fo_so_fo,Cifar10,VGG19,0.884,0.7444000244140625,0.09839999675750732,-40.62750817072227,35357770
9,clean_fo,Cifar10,VGG19,0.884,0.8388000130653381,0.8416000798774719,-0.004425514285111758,35357770

19,fo_fo_so_so,Cifar10,VGG19,0.884,0.8385999798774719,0.10,-40.017621435849943946,35357770
20,fo_fo_fo_fo,Cifar10,VGG19,0.884,0.8385999798774719,0.11,-40.49779,35357770
20,so_fo_so_fo,Cifar10,VGG19,0.884,0.8385999798774719,0.11,-40.49779,35357770
20,so_fo_fo_clean,Cifar10,VGG19,0.884,0.8385999798774719,0.11,-40.49779,35357770
22,clean_so,Cifar10,VGG19,0.884,0.8385999798774719,0.8416000008583069,0.6962750246643721,35357770
23,clean_so_clean_so,Cifar10,VGG19,0.884,0.8385999798774719,0.8416000008583069,0.4977789639,35357770
